PC Name,Caste,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
Dibrugarh,GEN,Assam,Sarbananda Sonowal,Asom Gana Parisad,969905,631416,65.1,18554,2.9,2004
Dindigul,GEN,Tamil Nadu,"Chitthan, N. S. V.",Indian National Congress,1137313,688646,60.6,155171,22.5,2004
Domariaganj,SC,Uttar Pradesh,Mohd. Muqueem,Bahujan Samaj Party,1350045,643127,47.6,52902,8.2,2004
Dum Dum,SC,West Bengal,Amitava Nandy,Communist Party Of India (Marxist),1543705,1245065,80.7,98252,7.9,2004
Dumka,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,1083200,625043,57.7,115015,18.4,2004
Durg,ST,Chhattisgarh,Tarachand Sahu,Bharatiya Janta Party,1462883,761323,52,61468,8.1,2004
Durgapur,SC,West Bengal,Sunil Khan,Communist Party Of India (Marxist),1150939,844777,73.4,277508,32.8,2004
East Delhi,GEN,Delhi,Sandeep Dikshit,Indian National Congress,2606589,1190884,45.7,229779,19.3,2004
Eluru,GEN,Andhra Pradesh,Kavuru Samba Siva Rao,Indian National Congress,1151672,894854,77.7,123291,13.8,2004
Erandol,GEN,Maharashtra,Annasaheb M. K. Patil,Bharatiya Janta Party,1214861,609392,50.2,8141,1.3,2004
Ernakulam,GEN,Kerala,Dr. Sebastian Paul,Independent,1069131,657891,61.5,70099,10.7,2004
Etah,SC,Uttar Pradesh,Ku. Devendra Singh Yadav,Samajwadi Party,1128519,587065,52,51335,8.7,2004
Etawah,GEN,Uttar Pradesh,Raghuraj Singh Shakya,Samajwadi Party,1264620,703901,55.7,190157,27,2004
Faizabad,GEN,Uttar Pradesh,Mitrasen,Bahujan Samaj Party,1326533,686478,51.8,33486,4.9,2004
Faridabad,GEN,Haryana,Avtar Singh Bhadana,Indian National Congress,1546578,844647,54.6,151929,18,2004
Faridkot,GEN,Punjab,Sukhbir Singh Badal,Shiromani Akali Dal,1262934,893428,70.7,135279,15.1,2004
Farrukhabad,GEN,Uttar Pradesh,Chandra Bhushan Singh (MUNNOO BABU),Samajwadi Party,1366501,665458,48.7,2745,0.4,2004
Fatehpur,GEN,Uttar Pradesh,Mahendra Prasad Nishad,Bahujan Samaj Party,1279387,506655,39.6,52568,10.4,2004
Ferozepur,GEN,Punjab,Zora Singh Maan,Shiromani Akali Dal,1302221,867635,66.6,11539,1.3,2004
Firozabad,SC,Uttar Pradesh,Ram Ji Lal Suman,Samajwadi Party,1305888,531305,40.7,54788,10.3,2004
Gandhinagar,GEN,Gujarat,Lal Krishna Advani,Bharatiya Janta Party,2126829,845212,39.7,217138,25.7,2004
Ganganagar,SC,Rajasthan,Nihalchand Meghwal,Bharatiya Janta Party,1337857,720451,53.9,7393,1,2004
Garhwal,GEN,Uttarakhand,Maj. Gen. ( RETD) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janta Party,1081299,499546,46.2,50962,10.2,2004
Gauhati,GEN,Assam,Kirip Chaliha,Indian National Congress,1441360,881696,61.2,61151,6.9,2004
Gaya,SC,Bihar,Rajesh Kumar Manjhi,Rashtriya Janata Dal,1436323,883374,61.5,102934,11.7,2004
Ghatampur,GEN,Uttar Pradesh,Radhey Shyam Kori,Samajwadi Party,1207492,504722,41.8,10312,2,2004
Ghazipur,GEN,Uttar Pradesh,Afajal Ansari,Samajwadi Party,1476687,869032,58.9,226777,26.1,2004
Ghosi,GEN,Uttar Pradesh,Chandradeo Prasad Rajbhar,Samajwadi Party,1427284,721463,50.6,21012,2.9,2004
Giridih,GEN,Jharkhand,Tek Lal Mahto,Jharkhand Mukti Morcha,1312691,714371,54.4,149794,21,2004
Gobichettipalayam,SC,Tamil Nadu,"Elangovan, E. V. K. S.",Indian National Congress,1052350,677523,64.4,214477,31.7,2004
Godda,GEN,Jharkhand,Furkan Ansari,Indian National Congress,1338939,831337,62.1,26754,3.2,2004
Godhra,GEN,Gujarat,Solanki Bhupendrasinh Prabhatsinh,Bharatiya Janta Party,1143516,537101,47,53719,10,2004
Gonda,GEN,Uttar Pradesh,Kirti Vardhan Singh Alias Raja Bhaiya,Samajwadi Party,1391430,606618,43.6,36998,6.1,2004
Gopalganj,GEN,Bihar,Anirudh Prasad Alias Sadhu Yadav,Rashtriya Janata Dal,1231178,694487,56.4,192919,27.8,2004
Gorakhpur,SC,Uttar Pradesh,Aditya Nath,Bharatiya Janta Party,1432002,689217,48.1,142039,20.6,2004
Gulbarga,GEN,Karnataka,Iqbal Ahmed Saradgi,Indian National Congress,1439006,827038,57.5,57471,6.9,2004
Guna,GEN,Madhya Pradesh,Jyotiraditya Madhavrao Scindia,Indian National Congress,1422045,668208,47,86360,12.9,2004
Guntur,GEN,Andhra Pradesh,Rayapati Sambasiva Rao,Indian National Congress,1172954,820124,69.9,129792,15.8,2004
Gurdaspur,GEN,Punjab,Vinod Khanna,Bharatiya Janta Party,1210260,785813,64.9,24983,3.2,2004
Gwalior,GEN,Madhya Pradesh,Ramsevak Singh ( BABUJI),Indian National Congress,1381464,564497,40.9,35864,6.4,2004
Hajipur,GEN,Bihar,Ram Vilas Paswan,Lok Jan Shakti Party,1208834,773565,64,237801,30.7,2004
Hamirpur,SC,Uttar Pradesh,Rajnarayan Alias Rajju Mahraj,Samajwadi Party,1185235,604055,51,37154,6.2,2004
Hamirpur,SC,Himachal Pradesh,Suresh Chandel,Bharatiya Janta Party,1064238,649994,61.1,1615,0.2,2004
Hanamkonda,GEN,Andhra Pradesh,B.Vinod Kumar,Telangana Rashtra Samithi,1207089,831324,68.9,217067,26.1,2004
Hapur,GEN,Uttar Pradesh,Surendra Prakash Goyal,Indian National Congress,1806830,799663,44.3,42363,5.3,2004
Hardoi,GEN,Uttar Pradesh,Usha Verma,Samajwadi Party,1213260,522063,43,39203,7.5,2004
Hardwar,GEN,Uttarakhand,Rajendra Kumar,Samajwadi Party,914440,486341,53.2,37659,7.7,2004
Hassan,GEN,Karnataka,H D Devegowda,Janata Dal (Secular),1292878,910103,70.4,190305,20.9,2004
Hathras,GEN,Uttar Pradesh,Kishan Lal Diler,Bharatiya Janta Party,1212983,492076,40.6,22837,4.6,2004
Hazaribagh,GEN,Jharkhand,Bhubneshwar Prasad Mehta,Communist Party Of India,1180058,705438,59.8,105328,14.9,2004
Hindupur,GEN,Andhra Pradesh,Nizamoddin,Indian National Congress,1179211,865406,73.4,1840,0.2,2004
Hingoli,GEN,Maharashtra,Suryakanta Patil,Nationalist Congress Party,1189303,727547,61.2,12545,1.7,2004
Hissar,GEN,Haryana,Jai Parkash,Indian National Congress,1136762,769679,67.7,182768,23.7,2004
Hooghly,GEN,West Bengal,Rupchand Pal,Communist Party Of India (Marxist),1161683,919683,79.2,166966,18.2,2004
Hoshangabad,GEN,Madhya Pradesh,Sartaj Singh,Bharatiya Janta Party,1287203,633736,49.2,136409,21.5,2004
Hoshiarpur,GEN,Punjab,Avinash Rai Khanna,Bharatiya Janta Party,1137423,655662,57.6,104371,15.9,2004
Howrah,GEN,West Bengal,Swadesh Chakrabortty,Communist Party Of India (Marxist),1240427,909246,73.3,246937,27.2,2004
Hyderabad,GEN,Andhra Pradesh,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,1770725,986387,55.7,100145,10.2,2004
Ichalkaranji,GEN,Maharashtra,Mane Nivedita Sambhajirao,Nationalist Congress Party,1215059,790264,65,101049,12.8,2004
Idukki,GEN,Kerala,K. Francis George,Kerala Congress,1034338,727964,70.4,69384,9.5,2004
Indore,GEN,Madhya Pradesh,Sumitra Mahajan (TAI),Bharatiya Janta Party,1678030,854240,50.9,193936,22.7,2004
Inner Manipur,GEN,Manipur,Dr. Thokchom Meinya,Indian National Congress,740718,416376,56.2,49333,11.8,2004
Jabalpur,ST,Madhya Pradesh,Rakesh Singh,Bharatiya Janta Party,1347885,572548,42.5,99531,17.4,2004
Jadavpur,GEN,West Bengal,Sujan Chakraborty,Communist Party Of India (Marxist),1354946,1019775,75.3,89668,8.8,2004
Jagatsinghpur,SC,Orissa,Brahmananda Panda,Biju Janata Dal,1301496,928017,71.3,57262,6.2,2004
Jahanabad,SC,Bihar,Ganesh Prasad Singh,Rashtriya Janata Dal,1246756,863788,69.3,46438,5.4,2004
Jaipur,GEN,Rajasthan,Girdhari Lal Bhargava,Bharatiya Janta Party,1896856,880276,46.4,107186,12.2,2004
Jajpur,ST,Orissa,Mohan Jena,Biju Janata Dal,1278758,876068,68.5,51466,5.9,2004
Jalaun,GEN,Uttar Pradesh,Bhanu Pratap Singh Verma,Bharatiya Janta Party,1310156,579748,44.3,26791,4.6,2004
Jalesar,GEN,Uttar Pradesh,Pro. S.P Singh Baghel,Samajwadi Party,1240919,650313,52.4,106068,16.3,2004
Jalgaon,GEN,Maharashtra,Y. G. Mahajan (SIR),Bharatiya Janta Party,1239241,616072,49.7,20646,3.4,2004
Jalna,GEN,Maharashtra,Danve Raosaheb Dadarao Patil,Bharatiya Janta Party,1242929,755991,60.8,61332,8.1,2004
Jalore,GEN,Rajasthan,B. Susheela,Bharatiya Janta Party,1428584,654757,45.8,39192,6,2004
Jalpaiguri,SC,West Bengal,Minati Sen,Communist Party Of India (Marxist),1104784,884971,80.1,180605,20.4,2004
Jammu,GEN,Jammu & Kashmir,Madan Lal Sharma,Indian National Congress,1849989,820595,44.4,17568,2.1,2004
