PC Name,Caste,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
Sidhi,GEN,Madhya Pradesh,Chandrapratap Singh,Bharatiya Janta Party,1083701,457029,42.2,49565,10.8,2004
Sikar,GEN,Rajasthan,Subhash Meharia,Bharatiya Janta Party,1476344,777953,52.7,54683,7,2004
Sikkim,GEN,Sikkim,Nakul Das Rai,Sikkim Democratic Front,281937,215294,76.4,93151,43.3,2004
Silchar,GEN,Assam,Sontosh Mohan Dev,Indian National Congress,879243,607884,69.1,21320,3.5,2004
Simla,GEN,Himachal Pradesh,Dhani Ram Shandil,Indian National Congress,1018988,525998,51.6,108180,20.6,2004
Singhbhum,ST,Jharkhand,Bagun Sumbrai,Indian National Congress,919728,520155,56.6,59196,11.4,2004
Sirsa,GEN,Haryana,Atma Singh Gill,Indian National Congress,1219935,841638,69,71475,8.5,2004
Sitamarhi,GEN,Bihar,Sitaram Yadav,Rashtriya Janata Dal,1265132,690791,54.6,98005,14.2,2004
Sitapur,GEN,Uttar Pradesh,Rajesh Verma,Bahujan Samaj Party,1292685,596568,46.2,5234,0.9,2004
Sivaganga,GEN,Tamil Nadu,"Chidambaram, P.",Indian National Congress,1083542,664594,61.3,162725,24.5,2004
Sivakasi,GEN,Tamil Nadu,"Ravichandran, A",Marumalarchi Dravida Munnetra Kazhagam,1313594,828082,63,164517,19.9,2004
Siwan,GEN,Bihar,Mohammad Shahabuddin,Rashtriya Janata Dal,1054441,637544,60.5,103578,16.2,2004
Sonepat,GEN,Haryana,Kishan Singh Sangwan,Bharatiya Janta Party,1138771,736510,64.7,7569,1,2004
South Delhi,GEN,Delhi,Vijay Kumar Malhotra,Bharatiya Janta Party,1018862,478871,47,16005,3.3,2004
Srikakulam,GEN,Andhra Pradesh,Yerrannaidu Kinjarapu,Telugu Desam,958626,723013,75.4,31879,4.4,2004
Srinagar,GEN,Jammu & Kashmir,Omar Abdullah,Jammu & Kashmir National Conference,1053734,195645,18.6,23159,11.8,2004
Sriperumbudur,GEN,Tamil Nadu,Krishnaswamy. A,Dravida Munetra Kazhagam,1423561,842045,59.2,235346,27.9,2004
Sultanpur,GEN,Uttar Pradesh,Mohd. Tahir,Bahujan Samaj Party,1465273,721002,49.2,101810,14.1,2004
Sundargarh,GEN,Orissa,Jual Oram,Bharatiya Janta Party,1209123,732302,60.6,39676,5.4,2004
Surat,GEN,Gujarat,Kashiram Rana,Bharatiya Janta Party,2377198,896233,37.7,150563,16.8,2004
Surendranagar,GEN,Gujarat,Koli Patel Somabhai Gandabhai,Bharatiya Janta Party,1109656,455520,41.1,33944,7.5,2004
Surguja,ST,Chhattisgarh,Nand Kumar Sai,Bharatiya Janta Party,1387483,676480,48.8,103452,15.3,2004
Tamluk,GEN,West Bengal,Seth Lakshman Chandra,Communist Party Of India (Marxist),1185781,1030848,86.9,57380,5.6,2004
Tarn Taran,GEN,Punjab,Dr. Rattan Singh Ajnala,Shiromani Akali Dal,1173431,717306,61.1,56394,7.9,2004
Tehri Garhwal,GEN,Uttarakhand,Manabendra Shah,Bharatiya Janta Party,1292454,561210,43.4,17446,3.1,2004
Tenali,GEN,Andhra Pradesh,Balashowry Vallabhaneni,Indian National Congress,880148,671316,76.3,78556,11.7,2004
Tenkasi,SC,Tamil Nadu,"Appadurai, M.",Communist Party Of India,1084708,709688,65.4,122176,17.2,2004
Tezpur,GEN,Assam,Moni Kumar Subba,Indian National Congress,1006389,720182,71.6,70445,9.8,2004
Thane,GEN,Maharashtra,Paranjape Prakash Vishvanath,Shiv Sena,3240342,1313006,40.5,22258,1.7,2004
Thanjavur,GEN,Tamil Nadu,Palanimanickam. S. S.,Dravida Munetra Kazhagam,1030779,706888,68.6,119148,16.9,2004
Tindivanam,GEN,Tamil Nadu,Dhanaraju. K,Pattali Makkal Katchi,1158938,727774,62.8,91164,12.5,2004
Tiruchendur,GEN,Tamil Nadu,Radhika Selvi. V,Dravida Munetra Kazhagam,1031560,628693,61,181681,28.9,2004
Tiruchengode,GEN,Tamil Nadu,Subbulakshmi Jagadeesan,Dravida Munetra Kazhagam,1443197,862183,59.7,179397,20.8,2004
Tiruchirappalli,SC,Tamil Nadu,Ganesan. L,Marumalarchi Dravida Munnetra Kazhagam,1192254,707830,59.4,216725,30.6,2004
Tirunelveli,GEN,Tamil Nadu,"Dhanuskodi Athithan, R.",Indian National Congress,1086290,631284,58.1,167075,26.5,2004
Tirupathi,SC,Andhra Pradesh,Chinta Mohan,Indian National Congress,1215573,848995,69.8,199328,23.5,2004
Tiruppattur,GEN,Tamil Nadu,"Venugopal, D.",Dravida Munetra Kazhagam,1213662,774387,63.8,180902,23.4,2004
Tonk,GEN,Rajasthan,Kailash Meghwal,Bharatiya Janta Party,1278411,593288,46.4,58512,9.9,2004
Trichur,SC,Kerala,C. K. Chandrappan,Communist Party Of India,990733,686108,69.3,45961,6.7,2004
Tripura East,ST,Tripura,Baju Ban Riyan,Communist Party Of India (Marxist),936626,619546,66.2,310736,50.2,2004
Tripura West,GEN,Tripura,Khagen Das,Communist Party Of India (Marxist),1041596,699397,67.2,384636,55,2004
Trivandrum,GEN,Kerala,P. K. Vasudevan Nair,Communist Party Of India,1112571,761488,68.4,54603,7.2,2004
Tumkur,GEN,Karnataka,S. Mallikarjunaiah,Bharatiya Janta Party,1221507,862673,70.6,2351,0.3,2004
Tura,ST,Meghalaya,Purano Agitok Sangma,All India Trinamool Congress,504312,311502,61.8,72763,23.4,2004
Udaipur,GEN,Rajasthan,Kiran Maheshwari,Bharatiya Janta Party,1363337,758166,55.6,74875,9.9,2004
Udhampur,GEN,Jammu & Kashmir,Ch. Lal Singh,Indian National Congress,1348721,607945,45.1,47175,7.8,2004
Udupi,SC,Karnataka,Manorama Madhwaraj,Bharatiya Janta Party,1138398,778545,68.4,29003,3.7,2004
Ujjain,ST,Madhya Pradesh,Dr. Satyanarayan Jatiya,Bharatiya Janta Party,1243447,719800,57.9,70403,9.8,2004
Uluberia,GEN,West Bengal,Hannan Mollah,Communist Party Of India (Marxist),1129673,849086,75.2,152115,17.9,2004
Unnao,SC,Uttar Pradesh,Brajesh Pathak,Bahujan Samaj Party,1303203,547514,42,17761,3.2,2004
Vaishali,GEN,Bihar,Raghubansh Prasad Singh,Rashtriya Janata Dal,1197345,748681,62.5,105935,14.1,2004
Vandavasi,GEN,Tamil Nadu,"Ramachandran Gingee, N.",Marumalarchi Dravida Munnetra Kazhagam,1128624,701659,62.2,151433,21.6,2004
Varanasi,GEN,Uttar Pradesh,Dr. Rajesh Kumar Mishra,Indian National Congress,1487696,633729,42.6,57436,9.1,2004
Vellore,GEN,Tamil Nadu,"Kader Mohideen, K. M",Dravida Munetra Kazhagam,1220454,745806,61.1,178610,23.9,2004
Vidisha,GEN,Madhya Pradesh,Shivraj Singh Chauhan,Bharatiya Janta Party,1313048,656181,50,260726,39.7,2004
Vijayawada,GEN,Andhra Pradesh,Rajagopal Lagadapati,Indian National Congress,1464657,943766,64.4,114587,12.1,2004
Visakhapatnam,GEN,Andhra Pradesh,Janardhana Reddy Nedurumalli,Indian National Congress,1515574,965735,63.7,130571,13.5,2004
Vishnupur,GEN,West Bengal,Susmita Bauri,Communist Party Of India (Marxist),1052852,803360,76.3,331829,41.3,2004
Warangal,GEN,Andhra Pradesh,Dharavath Ravinder Naik,Telangana Rashtra Samithi,1215167,921516,75.8,19262,2.1,2004
Wardha,GEN,Maharashtra,Wagmare Suresh Ganapat,Bharatiya Janta Party,1144924,625840,54.7,3188,0.5,2004
Washim,ST,Maharashtra,Gawali (PATIL) KU. BHAVANA PUNDLIKRAO,Shiv Sena,1151886,719643,62.5,60898,8.5,2004
Yavatmal,GEN,Maharashtra,Rathod Harising Nasaru,Bharatiya Janta Party,1133605,663001,58.5,56804,8.6,2004
Adilabad,ST,Andhra Pradesh,Rathod Ramesh,Telugu Desam,1131211,863248,76.3,115087,13.3,2009
Agra,SC,Uttar Pradesh,Dr. Ramshankar,Bharatiya Janta Party,1539683,648793,42.1,9715,1.5,2009
Ahmadnagar,GEN,Maharashtra,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,1517951,787153,51.9,46731,5.9,2009
Ahmedabad East,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,1411761,597395,42.3,86056,14.4,2009
Ahmedabad West,SC,Gujarat,Dr. Solanki Kiritbhai Premajibhai,Bharatiya Janta Party,1431080,690071,48.2,91127,13.2,2009
Ajmer,GEN,Rajasthan,Sachin Pilot,Indian National Congress,1455339,771272,53,76135,9.9,2009
Akbarpur,GEN,Uttar Pradesh,Rajaram Pal,Indian National Congress,1461050,637264,43.6,32043,5,2009
Akola,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1480606,740014,50,64848,8.8,2009
Alappuzha,GEN,Kerala,K.C Venugopal,Indian National Congress,1147162,911120,79.4,57635,6.3,2009
Alathur,SC,Kerala,P.K Biju,Communist Party Of India (Marxist),1100843,830044,75.4,20960,2.5,2009
Aligarh,GEN,Uttar Pradesh,Raj Kumari Chauhan,Bahujan Samaj Party,1345351,694110,51.6,16557,2.4,2009
Alipurduars,ST,West Bengal,Manohar Tirkey,Revolutionary Socialist Party,1229301,934622,76,112822,12.1,2009
Allahabad,GEN,Uttar Pradesh,Raman Singh,Samajwadi Party,1267492,550220,43.4,34920,6.3,2009
Almora,SC,Uttarakhand,Pradeep Tamta,Indian National Congress,1057379,481891,45.6,6950,1.4,2009
Alwar,GEN,Rajasthan,Jitendra Singh,Indian National Congress,1373384,762306,55.5,156619,20.5,2009
Amalapuram,SC,Andhra Pradesh,G.V.Harsha Kumar,Indian National Congress,1275287,1027127,80.5,40005,3.9,2009
Ambala,SC,Haryana,Selja,Indian National Congress,1264907,866507,68.5,14570,1.7,2009
Ambedkar Nagar,GEN,Uttar Pradesh,Rakesh Pandey,Bahujan Samaj Party,1494838,810886,54.3,22736,2.8,2009
Amethi,GEN,Uttar Pradesh,Rahul Gandhi,Indian National Congress,1431787,646653,45.2,370198,57.2,2009
Amravati,SC,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,1423855,732573,51.5,61716,8.4,2009
Amreli,GEN,Gujarat,Kachhadia Naranbhai,Bharatiya Janta Party,1312733,524642,40,37317,7.1,2009
Amritsar,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,1241099,814503,65.6,6858,0.8,2009
Amroha,GEN,Uttar Pradesh,Devendra Nagpal,Rashtriya Lok Dal,1173915,706599,60.2,92083,13,2009
Anakapalli,GEN,Andhra Pradesh,Sabbam Hari,Indian National Congress,1331695,1051708,79,52912,5,2009
Anand,GEN,Gujarat,Solanki Bharatbhai Madhavsinh,Indian National Congress,1397162,676072,48.4,67318,10,2009
Anandpur Sahib,GEN,Punjab,Ravneet Singh,Indian National Congress,1338596,904606,67.6,67204,7.4,2009
Anantapur,GEN,Andhra Pradesh,Anantha Venkata Rami Reddy,Indian National Congress,1411460,1002775,71.1,77921,7.8,2009
Anantnag,GEN,Jammu & Kashmir,Mirza Mehboob Beg,Jammu & Kashmir National Conference,1176223,318726,27.1,5224,1.6,2009
Andaman & Nicobar Islands,GEN,Andaman & Nicobar Islands,Shri. Bishnu Pada Ray,Bharatiya Janta Party,265108,170107,64.2,2990,1.8,2009
Aonla,GEN,Uttar Pradesh,Menka Gandhi,Bharatiya Janta Party,1310878,704611,53.8,7681,1.1,2009
Arakkonam,GEN,Tamil Nadu,Jagathrakshakan,Dravida Munetra Kazhagam,1098607,854683,77.8,109796,12.8,2009
Arambagh,SC,West Bengal,Malik Sakti Mohan,Communist Party Of India (Marxist),1375377,1163581,84.6,201558,17.3,2009
Arani,GEN,Tamil Nadu,Krishnasswamy M,Indian National Congress,1097865,843076,76.8,106830,12.7,2009
Araria,GEN,Bihar,Pradeep Kumar Singh,Bharatiya Janta Party,1311225,730459,55.7,22502,3.1,2009
Arrah,GEN,Bihar,Meena Singh,Janata Dal (United),1555122,556364,35.8,74720,13.4,2009
Aruku,ST,Andhra Pradesh,Kishore Chandra Suryanarayana Deo Vyricherla,Indian National Congress,1182514,796043,67.3,192444,24.2,2009
Arunachal East,GEN,Arunachal Pradesh,Ninong Ering,Indian National Congress,301173,214930,71.4,68449,31.8,2009
Arunachal West,GEN,Arunachal Pradesh,Takam Sanjoy,Indian National Congress,433368,285666,65.9,1314,0.5,2009
Asansol,GEN,West Bengal,Bansa Gopal Chowdhury,Communist Party Of India (Marxist),1250052,893860,71.5,72956,8.2,2009
Aska,GEN,Orissa,Nityananda Pradhan,Biju Janata Dal,1286194,701795,54.6,232834,33.2,2009
Attingal,GEN,Kerala,Adv. A Sampath,Communist Party Of India (Marxist),1091432,725168,66.4,18341,2.5,2009
Aurangabad,GEN,Maharashtra,Chandrakant Khaire,Shiv Sena,1417964,598332,42.2,33014,5.5,2009
Aurangabad,GEN,Bihar,Sushil Kumar Singh,Janata Dal (United),1376323,598332,43.5,72058,12,2009
Autonomous District,ST,Assam,Biren Singh Engti,Indian National Congress,693407,480748,69.3,74548,15.5,2009
Azamgarh,GEN,Uttar Pradesh,Ramakant Yadav,Bharatiya Janta Party,1578854,705508,44.7,49039,7,2009
Badaun,GEN,Uttar Pradesh,Dharmendra Yadav,Samajwadi Party,1405695,737438,52.5,32542,4.4,2009
Bagalkot,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1363359,859976,63.1,35446,4.1,2009
Baghpat,GEN,Uttar Pradesh,Ajit Singh,Rashtriya Lok Dal,1280602,613758,47.9,63027,10.3,2009
Baharampur,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,1179938,953789,80.8,186977,19.6,2009
Bahraich,SC,Uttar Pradesh,Kamal Kishor,Indian National Congress,1246823,512702,41.1,38953,7.6,2009
Balaghat,GEN,Madhya Pradesh,K. D. Deshmukh,Bharatiya Janta Party,1339239,756832,56.5,40819,5.4,2009
Balasore,GEN,Orissa,Srikant Kumar Jena,Indian National Congress,1269342,892345,70.3,38900,4.4,2009
Ballia,GEN,Uttar Pradesh,Neeraj Shekhar,Samajwadi Party,1679029,677426,40.4,72555,10.7,2009
Balurghat,GEN,West Bengal,Prasanta Kumar Majumdar,Revolutionary Socialist Party,1010224,876355,86.8,5105,0.6,2009
Banaskantha,GEN,Gujarat,Gadhvi Mukeshkumar Bheiravdanji,Indian National Congress,1296871,646305,49.8,10301,1.6,2009
Banda,GEN,Uttar Pradesh,R. K. Singh Patel,Samajwadi Party,1386265,619203,44.7,34593,5.6,2009
Bangalore Central,GEN,Karnataka,P. C. Mohan,Bharatiya Janta Party,1901346,847135,44.6,35218,4.2,2009
Bangalore North,GEN,Karnataka,D. B. Chandre Gowda,Bharatiya Janta Party,2144091,1001678,46.7,59665,6,2009
Bangalore Rural,GEN,Karnataka,H D Kumaraswamy,Janata Dal (Secular),1904135,1103049,57.9,130275,11.8,2009
Bangalore South,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,2031030,908751,44.7,37612,4.1,2009
Bangaon,SC,West Bengal,Gobinda Chandra Naskar,All India Trinamool Congress,1246979,1078719,86.5,92826,8.6,2009
Banka,GEN,Bihar,Digvijay Singh,Independent,1338025,652097,48.7,28716,4.4,2009
Bankura,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (Marxist),1268563,985847,77.7,107802,10.9,2009
Bansgaon,SC,Uttar Pradesh,Kamlesh Paswan,Bharatiya Janta Party,1663648,649218,39,52787,8.1,2009
Banswara,ST,Rajasthan,Tarachand Bhagora,Indian National Congress,1457980,769532,52.8,199418,25.9,2009
Bapatla,SC,Andhra Pradesh,Panabaka Lakshmi,Indian National Congress,1321607,1046640,79.2,69338,6.6,2009
Barabanki,SC,Uttar Pradesh,P.L.Punia,Indian National Congress,1422218,743415,52.3,167913,22.6,2009
Baramati,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,1593460,734048,46.1,336831,45.9,2009
Baramulla,GEN,Jammu & Kashmir,Sharief Ud Din Shariq,Jammu & Kashmir National Conference,1054496,441234,41.8,64814,14.7,2009
Barasat,GEN,West Bengal,Kakali Ghosh Dastidar,All India Trinamool Congress,1226654,1026860,83.7,122901,12,2009
Bardhaman Purba,SC,West Bengal,Anup Kumar Saha,Communist Party Of India (Marxist),1289311,1124896,87.3,59419,5.3,2009
Bardoli,ST,Gujarat,Chaudhari Tusharbhai Amrasinhbhai,Indian National Congress,1440215,832705,57.8,58985,7.1,2009
Bareilly,GEN,Uttar Pradesh,Praveen Singh Aron,Indian National Congress,1401423,705939,50.4,9338,1.3,2009
Bargarh,GEN,Orissa,Sanjay Bhoi,Indian National Congress,1320274,919459,69.6,98444,10.7,2009
Barmer,GEN,Rajasthan,Harish Choudhary,Indian National Congress,1441456,786516,54.6,119106,15.1,2009
Barpeta,GEN,Assam,Ismail Hussain,Indian National Congress,1239607,902287,72.8,30429,3.4,2009
Barrackpore,GEN,West Bengal,Dinesh Trivedi,All India Trinamool Congress,1081237,870792,80.5,56024,6.4,2009
Basirhat,GEN,West Bengal,Sk. Nurul Islam,All India Trinamool Congress,1198579,1038520,86.7,60383,5.8,2009
Bastar,ST,Chhattisgarh,Baliram Kashyap,Bharatiya Janta Party,1193116,564742,47.3,100262,17.8,2009
Basti,GEN,Uttar Pradesh,Arvind Kumar Chaudhary,Bahujan Samaj Party,1570657,773985,49.3,105210,13.6,2009
Bathinda,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,1336790,1048144,78.4,120948,11.5,2009
Beed,GEN,Maharashtra,Munde Gopinathrao Pandurang,Bharatiya Janta Party,1637239,1074052,65.6,140952,13.1,2009
Begusarai,GEN,Bihar,Dr. Monazir Hassan,Janata Dal (United),1473263,718408,48.8,40837,5.7,2009
Belgaum,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,1378238,754295,54.7,118687,15.7,2009
Bellary,ST,Karnataka,J. Shantha,Bharatiya Janta Party,1401258,860948,61.4,2243,0.3,2009
Berhampur,GEN,Orissa,Sidhant Mohapatra,Biju Janata Dal,1207552,711181,58.9,57287,8.1,2009
Betul,ST,Madhya Pradesh,Jyoti Dhurve,Bharatiya Janta Party,1286761,636564,49.5,97317,15.3,2009
Bhadohi,GEN,Uttar Pradesh,Gorakhnath,Bahujan Samaj Party,1519449,658731,43.4,12963,2,2009
Bhadrak,SC,Orissa,Arjun Charan Sethi,Biju Janata Dal,1372356,929526,67.7,54938,5.9,2009
Bhagalpur,GEN,Bihar,Syed Shahnawaz Hussain,Bharatiya Janta Party,1433346,629032,43.9,55811,8.9,2009
Bhandara - Gondiya,GEN,Maharashtra,Patel Praful Manoharbhai,Nationalist Congress Party,1450477,1030995,71.1,251915,24.4,2009
Bharatpur,SC,Rajasthan,Ratan Singh,Indian National Congress,1437111,560919,39,81454,14.5,2009
Bharuch,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,1311539,749381,57.1,27232,3.6,2009
Bhavnagar,GEN,Gujarat,Rajendrasinh Ghanshyamsinh Rana (Rajubhai Rana),Bharatiya Janta Party,1381619,623341,45.1,5893,0.9,2009
Bhilwara,GEN,Rajasthan,C P Joshi,Indian National Congress,1492687,754956,50.6,135368,17.9,2009
Bhind,SC,Madhya Pradesh,Ashok Argal Chhaviram,Bharatiya Janta Party,1364411,523783,38.4,18886,3.6,2009
Bhiwandi,GEN,Maharashtra,Taware Suresh Kashinath,Indian National Congress,1483176,584180,39.4,41364,7.1,2009
Bhiwani-Mahendragarh,GEN,Haryana,Shruti Choudhry,Indian National Congress,1212513,864504,71.3,55577,6.4,2009
Bhongir,GEN,Andhra Pradesh,Komatireddy Raj Gopal Reddy,Indian National Congress,1478391,1129371,76.4,139888,12.4,2009
Bhopal,GEN,Madhya Pradesh,Kailash Joshi,Bharatiya Janta Party,1461714,659263,45.1,65157,9.9,2009
Bhubaneswar,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,1447002,710998,49.1,252760,35.6,2009
Bidar,GEN,Karnataka,N.Dharam Singh,Indian National Congress,1470507,779256,53,39619,5.1,2009
Bijapur,SC,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,1373604,649623,47.3,42404,6.5,2009
Bijnor,GEN,Uttar Pradesh,Sanjay Singh Chauhan,Rashtriya Lok Dal,1287070,707792,55,28430,4,2009
Bikaner,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,1381203,569941,41.3,19575,3.4,2009
Bilaspur,GEN,Chhattisgarh,Dilip Singh Judev,Bharatiya Janta Party,1472793,770089,52.3,20139,2.6,2009
Birbhum,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,1221893,1017879,83.3,61519,6,2009
Bishnupur,SC,West Bengal,Susmita Bauri,Communist Party Of India (Marxist),1237948,1054282,85.2,129366,12.3,2009
Bolangir,GEN,Orissa,Kalikesh Narayan Singh Deo,Biju Janata Dal,1443484,1011776,70.1,90835,9,2009
Bolpur,SC,West Bengal,Doctor Ram Chandra Dome,Communist Party Of India (Marxist),1307730,1079122,82.5,126882,11.8,2009
Bulandshahr,SC,Uttar Pradesh,Kamlesh,Samajwadi Party,1482749,668557,45.1,66065,9.9,2009
Buldhana,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,1382736,853885,61.8,28078,3.3,2009
Burdwan - Durgapur,GEN,West Bengal,Sk. Saidul Haque,Communist Party Of India (Marxist),1353380,1136226,84,108237,9.5,2009
Buxar,GEN,Bihar,Jagada Nand Singh,Rashtriya Janata Dal,1340892,623629,46.5,2238,0.4,2009
Chalakudy,GEN,Kerala,K.P. Dhanapalan,Indian National Congress,1075390,794306,73.9,71679,9,2009
Chamarajanagar,SC,Karnataka,R.Dhruvanarayana,Indian National Congress,1433825,973651,67.9,4002,0.4,2009
Chandauli,GEN,Uttar Pradesh,Ramkishun,Samajwadi Party,1446259,670998,46.4,459,0.1,2009
Chandigarh,GEN,Chandigarh,Pawan Kumar Bansal,Indian National Congress,524444,343579,65.5,58967,17.2,2009
Chandni Chowk,GEN,Delhi,Kapil Sibal,Indian National Congress,1413535,780507,55.2,200710,25.7,2009
Chandrapur,GEN,Maharashtra,Ahir Hansaraj Gangaram,Bharatiya Janta Party,1536352,898509,58.5,32495,3.6,2009
Chatra,GEN,Jharkhand,Inder Singh Namdhari,Independent,1037665,473936,45.7,16178,3.4,2009
Chelvella,GEN,Andhra Pradesh,Jaipal Reddy Sudini,Indian National Congress,1681664,1084394,64.5,18532,1.7,2009
Chennai Central,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,1000705,610372,61,33454,5.5,2009
Chennai North,GEN,Tamil Nadu,Elangovan T.K.S,Dravida Munetra Kazhagam,1016663,659927,64.9,19153,2.9,2009
Chennai South,GEN,Tamil Nadu,Rajendran C,All India Anna Dravida Munnetra Kazhagam,1162062,728118,62.7,32935,4.5,2009
Chhindwara,GEN,Madhya Pradesh,Kamal Nath,Indian National Congress,1154249,829304,71.9,121220,14.6,2009
Chhota Udaipur,ST,Gujarat,Rathwa Ramsingbhai Patalbhai,Bharatiya Janta Party,1412306,765220,54.2,26998,3.5,2009
Chidambaram,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,1126828,869428,77.2,99083,11.4,2009
Chikkballapur,GEN,Karnataka,M.Veerappa Moily,Indian National Congress,1437155,978715,68.1,51381,5.2,2009
Chikkodi,GEN,Karnataka,Katti Ramesh Vishwanath,Bharatiya Janta Party,1284427,868001,67.6,55287,6.4,2009
Chitradurga,SC,Karnataka,Janardhana Swamy,Bharatiya Janta Party,1534169,836390,54.5,135571,16.2,2009
Chittoor,SC,Andhra Pradesh,Naramalli Sivaprasad,Telugu Desam,1291921,1045061,80.9,10659,1,2009
Chittorgarh,GEN,Rajasthan,(Dr.)Girija Vyas,Indian National Congress,1601444,795308,49.7,72778,9.2,2009
Churu,GEN,Rajasthan,Ram Singh Kaswan,Bharatiya Janta Party,1532266,802665,52.4,12440,1.5,2009
Coimbatore,GEN,Tamil Nadu,Natarajan.P.R.,Communist Party Of India (Marxist),1163781,825118,70.9,38664,4.7,2009
Cooch Behar,SC,West Bengal,Nripendra Nath Roy,All India Forward Bloc,1329086,1122253,84.4,33749,3,2009
Cuddalore,GEN,Tamil Nadu,Alagiri S,Indian National Congress,986030,750000,76.1,23532,3.1,2009
Cuttack,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,1283576,813330,63.4,236292,29.1,2009
Dadra & Nagar Haveli,GEN,Dadra & Nagar Haveli,Patel Natubhai Gomanbhai,Bharatiya Janta Party,150704,110363,73.2,618,0.6,2009
Dahod,ST,Gujarat,Dr. Prabha Kishor Taviad,Indian National Congress,1194821,534414,44.7,58536,11,2009
Dakshina Kannada,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,1364641,1016135,74.5,40420,4,2009
Daman & Diu,GEN,Daman & Diu,Lalubhai Patel,Bharatiya Janta Party,95382,68023,71.3,24838,36.5,2009
Damoh,GEN,Madhya Pradesh,Shivraj Bhaiya,Bharatiya Janta Party,1357985,599295,44.1,70877,11.8,2009
Darbhanga,GEN,Bihar,Kirti Azad,Bharatiya Janta Party,1307067,545726,41.8,46453,8.5,2009
Darjeeling,GEN,West Bengal,Jaswant Singh,Bharatiya Janta Party,1215464,967400,79.6,253289,26.2,2009
Dausa,ST,Rajasthan,Kirodi Lal,Independent,1315810,841583,64,137759,16.4,2009
Davanagere,GEN,Karnataka,G.M. Siddeswara,Bharatiya Janta Party,1344920,907281,67.5,2024,0.2,2009
Deoria,GEN,Uttar Pradesh,Gorakh Prasad Jaiswal,Bahujan Samaj Party,1580745,715579,45.3,41779,5.8,2009
Dewas,SC,Madhya Pradesh,Sajjan Singh Verma,Indian National Congress,1297313,787381,60.7,15457,2,2009
Dhanbad,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,1806475,813521,45,58047,7.1,2009
Dhar,ST,Madhya Pradesh,Gajendra Singh Rajukhedi,Indian National Congress,1197172,654832,54.7,2661,0.4,2009
Dharmapuri,GEN,Tamil Nadu,Thamaraiselvan. R,Dravida Munetra Kazhagam,1069601,778634,72.8,135942,17.5,2009
Dharwad,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1411500,798496,56.6,137663,17.2,2009
Dhaurahra,GEN,Uttar Pradesh,Kunwar Jitin Prasad,Indian National Congress,1269584,759548,59.8,184509,24.3,2009
Dhenkanal,GEN,Orissa,Tathagata Satpathy,Biju Janata Dal,1283608,856631,66.7,186587,21.8,2009
Dhubri,GEN,Assam,Badruddin Ajmal,Assam United Democratic Front,1371949,1046985,76.3,184419,17.6,2009
Dhule,GEN,Maharashtra,Sonawane Pratap Narayanrao,Bharatiya Janta Party,1575227,670487,42.6,19419,2.9,2009
Diamond Harbour,GEN,West Bengal,Somendra Nath Mitra,All India Trinamool Congress,1302398,1054561,81,151689,14.4,2009
Dibrugarh,GEN,Assam,Paban Singh Ghatowar,Indian National Congress,1114965,750734,67.3,35143,4.7,2009
Dindigul,GEN,Tamil Nadu,Chitthan N S V,Indian National Congress,1085696,821253,75.6,54347,6.6,2009
Dindori,ST,Maharashtra,Chavan Harishchandra Deoram,Bharatiya Janta Party,1432938,681629,47.6,37347,5.5,2009
Domariyaganj,GEN,Uttar Pradesh,Jagdambika Pal,Indian National Congress,1499679,736139,49.1,76566,10.4,2009
Dum Dum,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,1212220,976769,80.6,20478,2.1,2009
Dumka,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,1128361,622736,55.2,18812,3,2009
